,Region,Layer,Donor
6,Region 9,L1,S2
7,Region 9,L2,S2
8,Region 9,L3,S2
9,Region 9,L4,S2
10,Region 9,L5,S2
11,Region 9,L6,S2
18,Region 9,L1,S4
19,Region 9,L2,S4
20,Region 9,L3,S4
21,Region 9,L4,S4
22,Region 9,L5,S4
23,Region 9,L6,S4
30,Region 22p,L1,S4
31,Region 22p,L2,S4
32,Region 22p,L3,S4
33,Region 22p,L4,S4
34,Region 22p,L5,S4
35,Region 22p,L6,S4
42,Region 22p,L1,S10
43,Region 22p,L2,S10
44,Region 22p,L3,S10
45,Region 22p,L4,S10
46,Region 22p,L5,S10
47,Region 22p,L6,S10
48,Region 9,L1,S9
49,Region 9,L2,S9
50,Region 9,L3,S9
51,Region 9,L4,S9
52,Region 9,L5,S9
53,Region 9,L6,S9
54,Region 9,L1,S10
55,Region 9,L2,S10
56,Region 9,L3,S10
57,Region 9,L4,S10
58,Region 9,L5,S10
78,Region 22p,L1,S2
79,Region 22p,L2,S2
80,Region 22p,L3,S2
81,Region 22p,L4,S2
82,Region 22p,L5,S2
83,Region 22p,L6,S2
90,Region 22p,L1,S9
91,Region 22p,L2,S9
92,Region 22p,L3,S9
93,Region 22p,L4,S9
94,Region 22p,L5,S9
95,Region 22p,L6,S9
